colony	gene	allele
Deltagen_828_10025	Galr2	Galr2<tm1Dgen>
EPD0038_2_B10_10026	Xbp1	Xbp1<tm1a(EUCOMM)Wtsi>
EPD0021_1_F05_10027	Agxt2l2	Agxt2l2<tm1a(EUCOMM)Wtsi
EPD0065_2_E04_10028	Clk1	Clk1<tm1a(EUCOMM)Wtsi>
EUCBL6FP00042B07_10030	Setdb1	Setdb1<tm1a(EUCOMM)Wtsi>
background_10034	null	
clone 1_10035	Akt2	Akt2<tm1Wcs>
EPD0001_3_E04_10036	Brd7	Brd7<tm3a(EUCOMM)Wtsi>
EPD0002_2_B07_10037	Mta1	Mta1<tm1a(EUCOMM)Wtsi>
EPD0001_3_G07_10038	Tpm1	Tpm1<tm1a(EUCOMM)Wtsi>
EPD0002_3_G03_10039	Epc1	Epc1<tm1a(EUCOMM)Wtsi>
ApoeApoe<tm1Unc>_10040	Apoe	Apoe<tm1Unc>
Kctd10Kctd10<Gt(RRG305)Byg>_10041	Kctd10	Kctd10<Gt(RRG305)Byg>
Rassf1Rassf1<tm1.2Brd>_10042	Rassf1	Rassf1<tm1.2Brd>
Cadm1Cadm1<tm1.2Brd>_10043	Cadm1	Cadm1<tm1.2Brd>
Ube3bUbe3b<Gt(RRJ142)Byg>_10044	Ube3b	Ube3b<Gt(RRJ142)Byg>
Tmc1Tmc1<dn>_10045	Tmc1	Tmc1<dn>
Myo6Myo6<sv>_10046	Myo6	Myo6<sv>
Ankrd13aAnkrd13a<Gt(RRH308)Byg>_10047	Ankrd13a	Ankrd13a<Gt(RRH308)Byg>
Matn3Matn3<tm1Brd>_10048	Matn3	Matn3<tm1Brd>
Matn1Matn1<tm1Goe>_10049	Matn1	Matn1<tm1Goe>
ENSMUSG00000065586ENSMUSG00000065586<Dmdo>_10050	Mir96 	Mir96<Dmdo>
Myo7aMyo7a<Hdb>_10051	Myo7a	Myo7a<Hdb>
Magi2Magi2<tm1Grnt>_10052	Magi2	Magi2<tm1Grnt>
Cdh23Cdh23<v>_10053	Cdh23	Cdh23<v>
Hmx3Hmx3<hx>_10054	Hmx3	Hmx3<tm1Ebo>
Grin2aGrin2a<tm1Rsp>_10055	Grin2a	Grin2a<tm1Rsp>
EPD0017_3_A07_10057	Zfp184	Zfp184<tm1a(KOMP)Wtsi>
EPD0068_1_B03_10058	Cit	Cit<tm1a(KOMP)Wtsi>
EPD0028_1_F01_10059	Smyd2	Smyd2<tm1a(KOMP)Wtsi>
EPD0033_1_C08_10060	Cds2	Cds2<tm1a(KOMP)Wtsi>
B6;129-Ptch1<tm1Mps>/J_10070	Ptch1	Ptch1<tm1Mps> 
EUCJ0053_G09_10071		
EPD0140_5_D09_10072	Grin2d	Grin2d<tm1a(EUCOMM)Wtsi>
T181_10073	Gper	Gper<tm1Dgen>
